SYSTEM,WATERWAY,SITE,TRANSECT,METRES,SPECIES,RECRUIT_COUNT,DATE,SURVEY,Comments (HK)
Glenelg,Glenelg,Dergholm,8,0 to 1,Plantago lanceolata,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,8,0 to 1,Eucalyptus camaldulensis subsp. camaldulensis,2,18/10/2022,6,
Glenelg,Glenelg,Dergholm,8,0 to 1,Hypochaeris radicata,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,8,0 to 1,Dicot spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,8,0 to 1,Lolium spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,8,1 to 2,Lolium spp.,50 to 100,18/10/2022,6,
Glenelg,Glenelg,Dergholm,8,1 to 2,Plantago lanceolata,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,8,1 to 2,Hypochaeris radicata,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,8,1 to 2,Eucalyptus camaldulensis subsp. camaldulensis,2,18/10/2022,6,
Glenelg,Glenelg,Dergholm,8,1 to 2,Dactylis glomerata,3,18/10/2022,6,
Glenelg,Glenelg,Dergholm,8,1 to 2,Bromus diandrus,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,8,2 to 3,Sonchus spp.,3,18/10/2022,6,
Glenelg,Glenelg,Dergholm,8,2 to 3,Lolium spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,8,2 to 3,Bromus spp.,10 to 50,18/10/2022,6,Likely diandrus as it was in 1-2m but not specified here
Glenelg,Glenelg,Dergholm,8,2 to 3,Hypochaeris radicata,5,18/10/2022,6,
Glenelg,Glenelg,Dergholm,8,2 to 3,Dicot spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,8,2 to 3,Vulpia spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Dergholm,8,2 to 3,Plantago lanceolata,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Warrock,1, -1 to 0,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Warrock,1,0 to 1,Dicot spp.,2,18/10/2022,6,
Glenelg,Glenelg,Warrock,1,1 to 2,Dicot spp.,3,18/10/2022,6,
Glenelg,Glenelg,Warrock,2, -1 to 0,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Warrock,2,0 to 1,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Warrock,2,1 to 2,Dicot spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Warrock,2,1 to 2,Eucalyptus camaldulensis subsp. camaldulensis,1,18/10/2022,6,
Glenelg,Glenelg,Warrock,3, -1 to 0,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Warrock,3,0 to 1,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Warrock,3,1 to 2,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Warrock,3,2 to 3,Dicot spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Warrock,3,2 to 3,Poaceae spp.,2,18/10/2022,6,Poaceae species
Glenelg,Glenelg,Warrock,4, -1 to 0,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Warrock,4,0 to 1,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Warrock,4,1 to 2,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Warrock,4,2 to 3,Dicot spp.,50 to 100,18/10/2022,6,mixed dicots
Glenelg,Glenelg,Warrock,4,2 to 3,Poaceae spp.,10 to 50,18/10/2022,6,Poaceae species
Glenelg,Glenelg,Warrock,4,3 to 4,Dicot spp.,10 to 50,18/10/2022,6,mixed dicots
Glenelg,Glenelg,Warrock,4,3 to 4,Melicytus dentatus s.l.,2,18/10/2022,6,
Glenelg,Glenelg,Warrock,4,3 to 4,Poaceae spp.,10 to 50,18/10/2022,6,Poaceae species
Glenelg,Glenelg,Warrock,5, -1 to 0,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Warrock,5,0 to 1,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Warrock,5,1 to 2,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Warrock,5,2 to 3,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Warrock,5,3 to 4,Dicot spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Warrock,5,3 to 4,monocot spp.,2,18/10/2022,6,
Glenelg,Glenelg,Warrock,5,3 to 4,Melicytus dentatus s.l.,1,18/10/2022,6,
Glenelg,Glenelg,Warrock,5,4 to 5,Dicot spp.,1,18/10/2022,6,
Glenelg,Glenelg,Warrock,5,4 to 5,monocot spp.,1,18/10/2022,6,
Glenelg,Glenelg,Warrock,6, -1 to 0,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Warrock,6,0 to 1,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Warrock,6,1 to 2,Dicot spp.,50 to 100,18/10/2022,6,mixed dicots
Glenelg,Glenelg,Warrock,7, -1 to 0,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Warrock,7,0 to 1,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Warrock,7,1 to 2,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Warrock,7,2 to 3,Melicytus dentatus s.l.,2,18/10/2022,6,
Glenelg,Glenelg,Warrock,7,2 to 3,Rumex spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Warrock,7,3 to 4,Dicot spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Warrock,7,3 to 4,Sonchus spp.,1,18/10/2022,6,
Glenelg,Glenelg,Warrock,7,3 to 4,Alternanthera denticulata,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Warrock,7,4 to 5,Sonchus spp.,3,18/10/2022,6,
Glenelg,Glenelg,Warrock,7,4 to 5,monocot spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Warrock,7,4 to 5,Rumex spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Warrock,7,4 to 5,Dicot spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Warrock,8, -1 to 0,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Warrock,8,0 to 1,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Warrock,8,1 to 2,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Warrock,8,2 to 3,Dicot spp.,8,18/10/2022,6,
Glenelg,Glenelg,Fulham,1, -1 to 0,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Fulham,1,0 to 1,Eucalyptus camaldulensis subsp. camaldulensis,1,19/10/2022,6,
Glenelg,Glenelg,Fulham,1,0 to 1,Dicot spp.,6,19/10/2022,6,
Glenelg,Glenelg,Fulham,1,1 to 2,Dicot spp.,3,19/10/2022,6,
Glenelg,Glenelg,Fulham,2, -1 to 0,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Fulham,2,0 to 1,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Fulham,2,1 to 2,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Fulham,2,2 to 3,Hypochaeris radicata,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Fulham,2,2 to 3,monocot spp.,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Fulham,2,3 to 4,Hypochaeris radicata,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Fulham,2,3 to 4,Vulpia spp.,50 to 100,19/10/2022,6,
Glenelg,Glenelg,Fulham,2,3 to 4,Plantago lanceolata,50 to 100,19/10/2022,6,
Glenelg,Glenelg,Fulham,2,3 to 4,Dicot spp.,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Fulham,2,3 to 4,Eucalyptus camaldulensis subsp. camaldulensis,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Fulham,3, -1 to 0,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Fulham,3,0 to 1,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Fulham,3,1 to 2,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Fulham,4, -1 to 0,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Fulham,4,0 to 1,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Fulham,4,1 to 2,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Fulham,4,2 to 3,Hypochaeris radicata,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Fulham,5, -1 to 0,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Fulham,5,0 to 1,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Fulham,5,1 to 2,monocot spp.,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Fulham,6,,,,19/10/2022,6,no data
Glenelg,Glenelg,Fulham,7, -1 to 0,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Fulham,7,0 to 1,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Fulham,7,1 to 2,monocot spp.,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Fulham,7,2 to 3,Holcus lanatus,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Fulham,7,2 to 3,Lolium spp.,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Fulham,7,2 to 3,Hypochaeris radicata,2,19/10/2022,6,
Glenelg,Glenelg,Fulham,7,2 to 3,Eucalyptus camaldulensis subsp. camaldulensis,1,19/10/2022,6,
Glenelg,Glenelg,Fulham,8, -1 to 0,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Fulham,8,0 to 1,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Fulham,8,1 to 2,monocot spp.,10 to 50,19/10/2022,6,weed - grassy monocot
Glenelg,Glenelg,Fulham,8,1 to 2,Hypochaeris radicata,3,19/10/2022,6,
Glenelg,Glenelg,Fulham,9, -1 to 0,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Fulham,9,0 to 1,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Fulham,9,1 to 2,monocot spp.,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Fulham,9,1 to 2,Dicot spp.,1,19/10/2022,6,
Glenelg,Glenelg,Fulham,10, -1 to 0,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Fulham,10,0 to 1,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Fulham,10,1 to 2,monocot spp.,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Weavers,1, -1 to 0,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Weavers,1,0 to 1,Dicot spp.,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Weavers,1,0 to 1,Lolium spp.,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Weavers,1,0 to 1,Vulpia spp.,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Weavers,1,0 to 1,Holcus lanatus,5,19/10/2022,6,
Glenelg,Glenelg,Weavers,1,1 to 2,Lolium spp.,50 to 100,19/10/2022,6,
Glenelg,Glenelg,Weavers,1,1 to 2,Vulpia spp.,50 to 100,19/10/2022,6,
Glenelg,Glenelg,Weavers,1,1 to 2,Holcus lanatus,50 to 100,19/10/2022,6,
Glenelg,Glenelg,Weavers,1,1 to 2,Dicot spp.,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Weavers,1,1 to 2,Hypochaeris radicata,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Weavers,1,1 to 2,Bromus diandrus,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Weavers,1,1 to 2,Phalaris aquatica,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Weavers,2, -1 to 0,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Weavers,2,0 to 1,Hypochaeris radicata,50 to 100,19/10/2022,6,
Glenelg,Glenelg,Weavers,2,0 to 1,Holcus lanatus,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Weavers,2,0 to 1,Lolium spp.,50 to 100,19/10/2022,6,
Glenelg,Glenelg,Weavers,2,0 to 1,Vulpia spp.,50 to 100,19/10/2022,6,
Glenelg,Glenelg,Weavers,2,1 to 2,Holcus lanatus,50 to 100,19/10/2022,6,
Glenelg,Glenelg,Weavers,2,1 to 2,Hypochaeris radicata,50 to 100,19/10/2022,6,
Glenelg,Glenelg,Weavers,2,1 to 2,Lolium spp.,50 to 100,19/10/2022,6,
Glenelg,Glenelg,Weavers,2,1 to 2,Vulpia spp.,50 to 100,19/10/2022,6,
Glenelg,Glenelg,Weavers,3, -1 to 0,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Weavers,3,0 to 1,Lolium spp.,50 to 100,19/10/2022,6,
Glenelg,Glenelg,Weavers,3,0 to 1,Vulpia spp.,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Weavers,3,1 to 2,Lolium spp.,100+,19/10/2022,6,
Glenelg,Glenelg,Weavers,3,1 to 2,Vulpia spp.,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Weavers,3,2 to 3,Lolium spp.,100+,19/10/2022,6,
Glenelg,Glenelg,Weavers,4, -1 to 0,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Weavers,4,0 to 1,Lolium spp.,50 to 100,19/10/2022,6,
Glenelg,Glenelg,Weavers,4,1 to 2,Lolium spp.,50 to 100,19/10/2022,6,
Glenelg,Glenelg,Weavers,4,2 to 3,Lolium spp.,50 to 100,19/10/2022,6,
Glenelg,Glenelg,Weavers,4,2 to 3,Eucalyptus camaldulensis subsp. camaldulensis,1,19/10/2022,6,
Glenelg,Glenelg,Weavers,4,2 to 3,Sonchus spp.,1,19/10/2022,6,
Glenelg,Glenelg,Weavers,4,2 to 3,Dicot spp.,2,19/10/2022,6,
Glenelg,Glenelg,Weavers,5, -1 to 0,Dicot spp.,5,19/10/2022,6,
Glenelg,Glenelg,Weavers,5,0 to 1,Dicot spp.,3,19/10/2022,6,
Glenelg,Glenelg,Weavers,5,0 to 1,Lolium spp.,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Weavers,5,1 to 2,Lolium spp.,50 to 100,19/10/2022,6,
Glenelg,Glenelg,Weavers,5,1 to 2,Phalaris aquatica,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Weavers,5,1 to 2,Holcus lanatus,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Weavers,5,1 to 2,Dicot spp.,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Weavers,5,1 to 2,Hypochaeris radicata,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Weavers,5,1 to 2,Lythrum hyssopifolia,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Weavers,5,1 to 2,Sonchus oleraceus,2,19/10/2022,6,
Glenelg,Glenelg,Weavers,6, -1 to 0,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Weavers,6,0 to 1,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Weavers,6,1 to 2,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Weavers,6,2 to 3,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Weavers,6,3 to 4,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Weavers,7, -1 to 0,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Weavers,7,0 to 1,Dicot spp.,3,19/10/2022,6,
Glenelg,Glenelg,Weavers,7,0 to 1,Poaceae spp.,10 to 50,19/10/2022,6,Poaceae spp.
Glenelg,Glenelg,Weavers,7,1 to 2,Sonchus spp.,1,19/10/2022,6,
Glenelg,Glenelg,Weavers,7,1 to 2,Dicot spp.,1,19/10/2022,6,
Glenelg,Glenelg,Weavers,7,1 to 2,Poaceae spp.,50 to 100,19/10/2022,6,
Glenelg,Glenelg,Weavers,7,2 to 3,Trifolium spp.,3,19/10/2022,6,
Glenelg,Glenelg,Weavers,8, -1 to 0,Lythrum hyssopifolia,3,19/10/2022,6,
Glenelg,Glenelg,Weavers,8,0 to 1,Dicot spp.,2,19/10/2022,6,
Glenelg,Glenelg,Weavers,8,0 to 1,monocot spp.,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Weavers,8,1 to 2,Hypochaeris radicata,1,19/10/2022,6,
Glenelg,Glenelg,Weavers,8,1 to 2,Dicot spp.,1,19/10/2022,6,
Glenelg,Glenelg,Weavers,8,2 to 3,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Weavers,9, -1 to 0,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Weavers,9,0 to 1,Dicot spp.,3,19/10/2022,6,
Glenelg,Glenelg,Weavers,9,0 to 1,Eucalyptus camaldulensis subsp. camaldulensis,1,19/10/2022,6,
Glenelg,Glenelg,Weavers,9,1 to 2,Dicot spp.,3,19/10/2022,6,
Glenelg,Glenelg,Weavers,9,1 to 2,Hypochaeris radicata,3,19/10/2022,6,
Glenelg,Glenelg,Weavers,10, -1 to 0,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Weavers,10,0 to 1,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Weavers,10,1 to 2,Rumex spp.,4,19/10/2022,6,
Glenelg,Glenelg,Five Mile,1, -1 to 0,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Five Mile,1,0 to 1,Hypochaeris radicata,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Five Mile,1,0 to 1,Lolium spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Five Mile,1,0 to 1,Holcus lanatus,3,18/10/2022,6,
Glenelg,Glenelg,Five Mile,1,1 to 2,Hypochaeris radicata,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Five Mile,1,1 to 2,Lolium spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Five Mile,1,1 to 2,Briza minor,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Five Mile,2, -1 to 0,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Five Mile,2,0 to 1,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Five Mile,2,1 to 2,Hypochaeris radicata,5,19/10/2022,6,
Glenelg,Glenelg,Five Mile,2,1 to 2,monocot spp.,50 to 100,19/10/2022,6,
Glenelg,Glenelg,Five Mile,2,1 to 2,Lolium spp.,50 to 100,19/10/2022,6,
Glenelg,Glenelg,Five Mile,3, -1 to 0,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Five Mile,3,0 to 1,Hypochaeris radicata,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Five Mile,3,1 to 2,Hypochaeris radicata,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Five Mile,3,1 to 2,Lolium spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Five Mile,3,1 to 2,Dicot spp.,6,18/10/2022,6,
Glenelg,Glenelg,Five Mile,4, -1 to 0,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Five Mile,4,0 to 1,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Five Mile,4,1 to 2,Hypochaeris radicata,1,19/10/2022,6,
Glenelg,Glenelg,Five Mile,4,2 to 3,Vulpia spp.,50 to 100,19/10/2022,6,
Glenelg,Glenelg,Five Mile,4,2 to 3,Lolium spp.,50 to 100,19/10/2022,6,
Glenelg,Glenelg,Five Mile,5, -1 to 0,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Five Mile,5,0 to 1,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Five Mile,5,1 to 2,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Five Mile,5,2 to 3,Lolium spp.,50 to 100,19/10/2022,6,
Glenelg,Glenelg,Five Mile,5,2 to 3,Vulpia spp.,50 to 100,19/10/2022,6,
Glenelg,Glenelg,Five Mile,6, -1 to 0,Not visible - flooded,NA,18/10/2022,6,
Glenelg,Glenelg,Five Mile,6,0 to 1,Not visible - flooded,NA,18/10/2022,6,
Glenelg,Glenelg,Five Mile,6,1 to 2,Not visible - flooded,NA,18/10/2022,6,
Glenelg,Glenelg,Five Mile,6,2 to 3,Not visible - flooded,NA,18/10/2022,6,
Glenelg,Glenelg,Five Mile,6,3 to 4,Not visible - flooded,NA,18/10/2022,6,
Glenelg,Glenelg,Five Mile,6,4 to 5,Lythrum hyssopifolia,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Five Mile,6,4 to 5,Lolium spp.,50 to 100,18/10/2022,6,
Glenelg,Glenelg,Five Mile,6,4 to 5,Hypochaeris radicata,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Five Mile,6,4 to 5,Bromus spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Five Mile,7, -1 to 0,Not visible - flooded,NA,18/10/2022,6,
Glenelg,Glenelg,Five Mile,7,0 to 1,Not visible - flooded,NA,18/10/2022,6,
Glenelg,Glenelg,Five Mile,7,1 to 2,Not visible - flooded,NA,18/10/2022,6,
Glenelg,Glenelg,Five Mile,7,2 to 3,Not visible - flooded,NA,18/10/2022,6,
Glenelg,Glenelg,Five Mile,7,3 to 4,Not visible - flooded,NA,18/10/2022,6,
Glenelg,Glenelg,Five Mile,7,4 to 5,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Five Mile,7,5 to 6,Lolium spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Five Mile,8,all,no data,ND,18/10/2022,6,
Glenelg,Glenelg,Five Mile,9, -1 to 0,Nil,0,18/10/2022,6,
Glenelg,Glenelg,Five Mile,9,0 to 1,Lolium spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Five Mile,9,1 to 2,Lythrum hyssopifolia,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Five Mile,9,1 to 2,Hydrocotyle,1,18/10/2022,6,
Glenelg,Glenelg,Five Mile,9,1 to 2,Dicot spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Five Mile,9,1 to 2,Lolium spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Five Mile,9,2 to 3,Lolium spp.,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Five Mile,9,2 to 3,Lythrum hyssopifolia,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Five Mile,9,2 to 3,Hypochaeris radicata,10 to 50,18/10/2022,6,
Glenelg,Glenelg,Five Mile,10, -1 to 0,Nil,0,19/10/2022,6,
Glenelg,Glenelg,Five Mile,10,0 to 1,Dicot spp.,2,19/10/2022,6,
Glenelg,Glenelg,Five Mile,10,0 to 1,Lythrum hyssopifolia,2,19/10/2022,6,
Glenelg,Glenelg,Five Mile,10,1 to 2,Dicot spp.,3,19/10/2022,6,
Glenelg,Glenelg,Five Mile,10,1 to 2,Lolium spp.,10 to 50,19/10/2022,6,
Glenelg,Glenelg,Dergholm,1, -1 to 0,Nil,0,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,0 to 1,Atriplex prostrata,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,0 to 1,Alternanthera denticulata,9,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,0 to 1,Chickweed,2,29/03/2023,7,Stellaria? Cerastium? Etc
Glenelg,Glenelg,Dergholm,1,0 to 1,Rumex spp.,6,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,0 to 1,Senecio spp.,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,1 to 2,Cycnogeton procerum,10 to 50,29/03/2023,7,was Chen proc but think is Cycno
Glenelg,Glenelg,Dergholm,1,1 to 2,Symphyotrichum subulatum,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,1 to 2,Brassica spp.,1,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,1 to 2,Atriplex prostrata,10 to 50,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,1 to 2,Oxalis perennens,2,29/03/2023,7,
Glenelg,Glenelg,Dergholm,1,1 to 2,Chickweed,4,29/03/2023,7,
