SYSTEM,WATERWAY,SITE,TRANSECT,METRES,SPECIES,RECRUIT_COUNT,DATE,SURVEY,Notes
Campaspe,Campaspe,Doaks,6,2 to 3,Eucalyptus camaldulensis subsp. camaldulensis,2,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,2 to 3,Lachnagrostis filiformis s.l.,5,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,3 to 4,Sonchus oleraceus,3,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,3 to 4,Lolium spp.,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,3 to 4,Lachnagrostis filiformis s.l.,5,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,4 to 5,Sonchus oleraceus,4,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,4 to 5,Lachnagrostis filiformis s.l.,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,4 to 5,Lolium spp.,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,5 to 6,Lachnagrostis filiformis s.l.,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,5 to 6,Lolium spp.,>100,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,5 to 6,Sonchus oleraceus,8,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,5 to 6,Persicaria hydropiper,1,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,6 to 7,Lolium spp.,>100,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,6 to 7,Sonchus oleraceus,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,6 to 7,Bromus diandrus,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,6 to 7,Malva parviflora,1,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,7 to 8,Lolium spp.,>100,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,7 to 8,Bromus diandrus,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,7 to 8,Sonchus oleraceus,4,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,7 to 8,Dysphania pumilio,4,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,7 to 8,Hypochaeris radicata,1,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,8 to 9,Lolium spp.,>100,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,8 to 9,Bromus diandrus,50 to 100,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,8 to 9,Sonchus oleraceus,2,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,9 to 10,Bromus diandrus,50 to 100,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,9 to 10,Sonchus oleraceus,2,4/04/2022,14,
Campaspe,Campaspe,Doaks,6,9 to 10,Lolium spp.,>100,4/04/2022,14,
Campaspe,Campaspe,Doaks,7, -1 to 0,Juncus spp.,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,7,0 to 1,Juncus spp.,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,7,0 to 1,Acacia spp.,1,4/04/2022,14,
Campaspe,Campaspe,Doaks,7,1 to 2,Juncus spp.,6,4/04/2022,14,
Campaspe,Campaspe,Doaks,7,2 to 3,Sonchus spp.,1,4/04/2022,14,
Campaspe,Campaspe,Doaks,7,2 to 3,Cirsium vulgare,1,4/04/2022,14,
Campaspe,Campaspe,Doaks,7,3 to 4,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,7,4 to 5,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,7,5 to 6,Cirsium vulgare,3,4/04/2022,14,
Campaspe,Campaspe,Doaks,7,5 to 6,Sonchus spp.,3,4/04/2022,14,
Campaspe,Campaspe,Doaks,7,5 to 6,Oxalis spp.,3,4/04/2022,14,
Campaspe,Campaspe,Doaks,7,7 to 8,Symphyotrichum subulatum,1,4/04/2022,14,
Campaspe,Campaspe,Doaks,7,9 to 10,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,7,11 to 12,Symphyotrichum subulatum,2,4/04/2022,14,
Campaspe,Campaspe,Doaks,7,13 to 14,Sonchus spp.,2,4/04/2022,14,
Campaspe,Campaspe,Doaks,7,13 to 14,Brachypodium spp.,50 to 100,4/04/2022,14,
Campaspe,Campaspe,Doaks,7,13 to 14,Dicot  ,2,4/04/2022,14,
Campaspe,Campaspe,Doaks,8, -1 to 0,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,8,0 to 1,Bromus diandrus,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,8,1 to 2,Lolium rigidum,3,4/04/2022,14,
Campaspe,Campaspe,Doaks,8,2 to 3,Bromus diandrus,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,8,2 to 3,Lolium rigidum,2,4/04/2022,14,
Campaspe,Campaspe,Doaks,9, -1 to 0,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,9,0 to 1,Lachnagrostis filiformis s.l.,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,9,0 to 1,Paspalum dilatatum,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,9,0 to 1,Epilobium hirtigerum,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,9,1 to 2,Lachnagrostis filiformis s.l.,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,9,1 to 2,Paspalum dilatatum,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,9,1 to 2,Epilobium hirtigerum,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,9,2 to 3,Lachnagrostis filiformis s.l.,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,9,2 to 3,Bromus diandrus,5,4/04/2022,14,
Campaspe,Campaspe,Doaks,9,3 to 4,Lachnagrostis filiformis s.l.,5,4/04/2022,14,
Campaspe,Campaspe,Doaks,9,3 to 4,Sonchus oleraceus,3,4/04/2022,14,
Campaspe,Campaspe,Doaks,9,4 to 5,Eucalyptus camaldulensis subsp. camaldulensis,2,4/04/2022,14,
Campaspe,Campaspe,Doaks,9,4 to 5,Lachnagrostis filiformis s.l.,5,4/04/2022,14,
Campaspe,Campaspe,Doaks,9,5 to 6,Lachnagrostis filiformis s.l.,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,9,5 to 6,Rumex spp.,4,4/04/2022,14,
Campaspe,Campaspe,Doaks,9,5 to 6,Sonchus oleraceus,2,4/04/2022,14,
Campaspe,Campaspe,Doaks,9,6 to 7,Lachnagrostis filiformis s.l.,4,4/04/2022,14,
Campaspe,Campaspe,Doaks,9,6 to 7,Bromus diandrus,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,9,6 to 7,Sonchus oleraceus,2,4/04/2022,14,
Campaspe,Campaspe,Doaks,10, -1 to 0,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,10,0 to 1,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,10,1 to 2,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,10,2 to 3,Nil,0,4/04/2022,14,
Campaspe,Campaspe,Doaks,10,3 to 4,Lolium rigidum,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,10,4 to 5,Bromus diandrus,50 to 100,4/04/2022,14,
Campaspe,Campaspe,Doaks,10,4 to 5,Lolium rigidum,3,4/04/2022,14,
Campaspe,Campaspe,Doaks,10,5 to 6,Bromus diandrus,10 to 50,4/04/2022,14,
Campaspe,Campaspe,Doaks,10,5 to 6,Lolium rigidum,10 to 50,4/04/2022,14,
Campaspe,Campaspe,English,1, -1 to 0,Nil,0,5/04/2022,14,
Campaspe,Campaspe,English,1,0 to 1,Lachnagrostis filiformis s.l.,5,5/04/2022,14,
Campaspe,Campaspe,English,1,1 to 2,Lachnagrostis filiformis s.l.,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,1,1 to 2,Euchiton involucratus s.l.,5,5/04/2022,14,
Campaspe,Campaspe,English,1,1 to 2,Epilobium billardierianum subsp. billardierianum,2,5/04/2022,14,
Campaspe,Campaspe,English,1,1 to 2,Rumex conglomeratus,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,1,1 to 2,Hypochaeris radicata,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,1,1 to 2,Cyperus eragrostis,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,1,2 to 3,Lachnagrostis filiformis s.l.,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,1,2 to 3,Cyperus eragrostis,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,1,2 to 3,Euchiton involucratus s.l.,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,1,3 to 4,Lachnagrostis filiformis s.l.,50 to 100,5/04/2022,14,
Campaspe,Campaspe,English,1,3 to 4,Euchiton involucratus s.l.,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,1,3 to 4,Sonchus oleraceus,1,5/04/2022,14,
Campaspe,Campaspe,English,1,3 to 4,Hypochaeris radicata,4,5/04/2022,14,
Campaspe,Campaspe,English,1,3 to 4,Rumex conglomeratus,3,5/04/2022,14,
Campaspe,Campaspe,English,1,3 to 4,Epilobium billardierianum subsp. billardierianum,1,5/04/2022,14,
Campaspe,Campaspe,English,1,3 to 4,Cyperus eragrostis,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,1,3 to 4,Dicot  ,5,5/04/2022,14,
Campaspe,Campaspe,English,1,5 to 6,Lachnagrostis filiformis s.l.,50 to 100,5/04/2022,14,
Campaspe,Campaspe,English,1,7 to 8,Nil,0,5/04/2022,14,
Campaspe,Campaspe,English,1,9 to 10,Sonchus spp.,3,5/04/2022,14,
Campaspe,Campaspe,English,1,9 to 10,Cirsium vulgare,1,5/04/2022,14,
Campaspe,Campaspe,English,1,9 to 10,Monocot,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,1,9 to 10,Hypochaeris radicata,3,5/04/2022,14,
Campaspe,Campaspe,English,2, -1 to 0,Nil,0,5/04/2022,14,
Campaspe,Campaspe,English,2,0 to 1,Nil,0,5/04/2022,14,
Campaspe,Campaspe,English,2,1 to 2,Nil,0,5/04/2022,14,
Campaspe,Campaspe,English,2,2 to 3,Lachnagrostis filiformis s.l.,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,2,2 to 3,Dicot  ,1,5/04/2022,14,
Campaspe,Campaspe,English,2,3 to 4,Lolium rigidum,2,5/04/2022,14,
Campaspe,Campaspe,English,2,3 to 4,Lachnagrostis filiformis s.l.,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,2,4 to 5,Lachnagrostis filiformis s.l.,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,2,4 to 5,Lolium rigidum,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,2,4 to 5,Bromus diandrus,5,5/04/2022,14,
Campaspe,Campaspe,English,2,5 to 6,Bromus diandrus,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,2,5 to 6,Lolium rigidum,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,2,5 to 6,Lachnagrostis filiformis s.l.,3,5/04/2022,14,
Campaspe,Campaspe,English,2,5 to 6,Paspalum dilatatum,1,5/04/2022,14,
Campaspe,Campaspe,English,2,6 to 7,Bromus diandrus,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,2,6 to 7,Lolium rigidum,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,3, -1 to 0,Nil,0,5/04/2022,14,
Campaspe,Campaspe,English,3,0 to 1,Lachnagrostis filiformis s.l.,1,5/04/2022,14,
Campaspe,Campaspe,English,3,1 to 2,Lachnagrostis filiformis s.l.,10,5/04/2022,14,
Campaspe,Campaspe,English,3,2 to 3,Lachnagrostis filiformis s.l.,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,3,3 to 4,Hypochaeris radicata,2,5/04/2022,14,
Campaspe,Campaspe,English,3,4 to 5,Nil,0,5/04/2022,14,
Campaspe,Campaspe,English,4, -1 to 0,Nil,0,5/04/2022,14,
Campaspe,Campaspe,English,4,0 to 1,Hypochaeris radicata,2,5/04/2022,14,
Campaspe,Campaspe,English,4,1 to 2,Lolium rigidum,2,5/04/2022,14,
Campaspe,Campaspe,English,4,2 to 3,Hypochaeris radicata,4,5/04/2022,14,
Campaspe,Campaspe,English,4,2 to 3,Bromus diandrus,3,5/04/2022,14,
Campaspe,Campaspe,English,4,3 to 4,Bromus diandrus,2,5/04/2022,14,
Campaspe,Campaspe,English,4,4 to 5,Bromus diandrus,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,4,5 to 6,Bromus diandrus,50 to 100,5/04/2022,14,
Campaspe,Campaspe,English,4,6 to 7,Bromus diandrus,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,4,7 to 8,Bromus diandrus,50 to 100,5/04/2022,14,
Campaspe,Campaspe,English,4,8 to 9,Bromus diandrus,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,5, -1 to 0,Nil,0,5/04/2022,14,
Campaspe,Campaspe,English,5,0 to 1,Lachnagrostis filiformis s.l.,2,5/04/2022,14,
Campaspe,Campaspe,English,5,1 to 2,Lolium spp.,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,5,1 to 2,Lachnagrostis filiformis s.l.,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,5,2 to 3,Nil,0,5/04/2022,14,
Campaspe,Campaspe,English,5,3 to 4,Nil,0,5/04/2022,14,
Campaspe,Campaspe,English,5,4 to 5,Nil,0,5/04/2022,14,
Campaspe,Campaspe,English,5,5 to 6,Bromus diandrus,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,5,6 to 7,Bromus diandrus,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,6, -1 to 0,Sonchus oleraceus,1,5/04/2022,14,
Campaspe,Campaspe,English,6, -1 to 0,Rytidosperma spp.,2,5/04/2022,14,
Campaspe,Campaspe,English,6,0 to 1,Rytidosperma spp.,2,5/04/2022,14,
Campaspe,Campaspe,English,6,0 to 1,Plantago lanceolata,1,5/04/2022,14,
Campaspe,Campaspe,English,6,1 to 2,Plantago lanceolata,2,5/04/2022,14,
Campaspe,Campaspe,English,6,1 to 2,Rytidosperma spp.,2,5/04/2022,14,
Campaspe,Campaspe,English,6,2 to 3,Cyperus eragrostis,4,5/04/2022,14,
Campaspe,Campaspe,English,6,2 to 3,Lolium rigidum,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,6,2 to 3,Bromus diandrus,1,5/04/2022,14,
Campaspe,Campaspe,English,6,3 to 4,Plantago lanceolata,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,6,3 to 4,Bromus diandrus,5,5/04/2022,14,
Campaspe,Campaspe,English,6,3 to 4,Lolium rigidum,5,5/04/2022,14,
Campaspe,Campaspe,English,6,4 to 5,Plantago lanceolata,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,6,4 to 5,Lolium rigidum,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,6,4 to 5,Bromus diandrus,5,5/04/2022,14,
Campaspe,Campaspe,English,6,6 to 7,Bromus diandrus,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,6,6 to 7,Dactylis glomerata,1,5/04/2022,14,
Campaspe,Campaspe,English,6,8 to 9,Bromus diandrus,50 to 100,5/04/2022,14,
Campaspe,Campaspe,English,6,10 to 11,Bromus diandrus,50 to 100,5/04/2022,14,
Campaspe,Campaspe,English,8, -1 to 0,Nil,0,5/04/2022,14,
Campaspe,Campaspe,English,8,0 to 1,Lachnagrostis filiformis s.l.,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,8,1 to 2,Epilobium billardierianum subsp. billardierianum,3,5/04/2022,14,
Campaspe,Campaspe,English,8,1 to 2,Cyperus eragrostis,4,5/04/2022,14,
Campaspe,Campaspe,English,8,1 to 2,Sonchus oleraceus,2,5/04/2022,14,
Campaspe,Campaspe,English,8,1 to 2,Lachnagrostis filiformis s.l.,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,8,2 to 3,Lolium rigidum,50 to 100,5/04/2022,14,
Campaspe,Campaspe,English,8,2 to 3,Bromus diandrus,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,8,2 to 3,Epilobium billardierianum subsp. billardierianum,1,5/04/2022,14,
Campaspe,Campaspe,English,8,2 to 3,Hypochaeris radicata,2,5/04/2022,14,
Campaspe,Campaspe,English,8,2 to 3,Lachnagrostis filiformis s.l.,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,8,3 to 4,Lolium rigidum,50 to 100,5/04/2022,14,
Campaspe,Campaspe,English,8,3 to 4,Bromus diandrus,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,8,3 to 4,Sonchus oleraceus,2,5/04/2022,14,
Campaspe,Campaspe,English,8,3 to 4,Hypochaeris radicata,2,5/04/2022,14,
Campaspe,Campaspe,English,8,4 to 5,Lolium rigidum,50 to 100,5/04/2022,14,
Campaspe,Campaspe,English,8,4 to 5,Bromus diandrus,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,8,5 to 6,Bromus diandrus,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,8,5 to 6,Lolium rigidum,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,8,6 to 7,Plantago lanceolata,3,5/04/2022,14,
Campaspe,Campaspe,English,8,6 to 7,Bromus diandrus,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,8,6 to 7,Lolium rigidum,5,5/04/2022,14,
Campaspe,Campaspe,English,8,7 to 8,Bromus diandrus,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,8,8 to 9,Bromus diandrus,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,8B, -1 to 0,Nil,0,5/04/2022,14,
Campaspe,Campaspe,English,8B,0 to 1,Nil,0,5/04/2022,14,
Campaspe,Campaspe,English,8B,1 to 2,Nil,0,5/04/2022,14,
Campaspe,Campaspe,English,8B,1 to 2,Nil,0,5/04/2022,14,
Campaspe,Campaspe,English,8B,2 to 3,Nil,0,5/04/2022,14,
Campaspe,Campaspe,English,8B,3 to 4,Nil,0,5/04/2022,14,
Campaspe,Campaspe,English,8B,4 to 5,Nil,0,5/04/2022,14,
Campaspe,Campaspe,English,8B,5 to 6,Nil,0,5/04/2022,14,
Campaspe,Campaspe,English,8B,6 to 7,Nil,0,5/04/2022,14,
Campaspe,Campaspe,English,9, -1 to 0,Lachnagrostis filiformis s.l.,4,5/04/2022,14,
Campaspe,Campaspe,English,9,0 to 1,Lachnagrostis filiformis s.l.,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,9,1 to 2,Lachnagrostis filiformis s.l.,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,9,1 to 2,Cyperus eragrostis,3,5/04/2022,14,
Campaspe,Campaspe,English,9,2 to 3,Alternanthera denticulata,1,5/04/2022,14,
Campaspe,Campaspe,English,9,2 to 3,Cyperus eragrostis,3,5/04/2022,14,
Campaspe,Campaspe,English,9,2 to 3,Lolium rigidum,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,9,2 to 3,Bromus diandrus,2,5/04/2022,14,
Campaspe,Campaspe,English,9,3 to 4,Lolium rigidum,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,9,3 to 4,Paspalum dilatatum,2,5/04/2022,14,
Campaspe,Campaspe,English,9,4 to 5,Lolium rigidum,50 to 100,5/04/2022,14,
Campaspe,Campaspe,English,9,4 to 5,Bromus diandrus,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,9,5 to 6,Bromus diandrus,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,9,5 to 6,Lolium rigidum,50 to 100,5/04/2022,14,
Campaspe,Campaspe,English,9,6 to 7,Paspalum dilatatum,2,5/04/2022,14,
Campaspe,Campaspe,English,9,6 to 7,Bromus diandrus,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,9,6 to 7,Lolium rigidum,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,9,8 to 9,Ehrharta longiflora,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,9,8 to 9,Bromus diandrus,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,9,8 to 9,Lolium rigidum,5,5/04/2022,14,
Campaspe,Campaspe,English,9,10 to 11,Ehrharta longiflora,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,9,10 to 11,Bromus diandrus,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,10, -1 to 0,Nil,0,5/04/2022,14,
Campaspe,Campaspe,English,10,0 to 1,Nil,0,5/04/2022,14,
Campaspe,Campaspe,English,10,1 to 2,Sonchus spp.,1,5/04/2022,14,
Campaspe,Campaspe,English,10,2 to 3,Nil,0,5/04/2022,14,
Campaspe,Campaspe,English,10,3 to 4,Lolium spp.,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,10,4 to 5,Lolium spp.,50 to 100,5/04/2022,14,
Campaspe,Campaspe,English,10,4 to 5,Sonchus spp.,1,5/04/2022,14,
Campaspe,Campaspe,English,10,4 to 5,Dicot  ,1,5/04/2022,14,
Campaspe,Campaspe,English,10,6 to 7,Lolium spp.,50 to 100,5/04/2022,14,
Campaspe,Campaspe,English,10,6 to 7,Bromus spp.,50 to 100,5/04/2022,14,
Campaspe,Campaspe,English,10,6 to 7,Dicot  ,1,5/04/2022,14,
Campaspe,Campaspe,English,10,6 to 7,Hypochaeris radicata,2,5/04/2022,14,
Campaspe,Campaspe,English,10,6 to 7,Sonchus spp.,1,5/04/2022,14,
Campaspe,Campaspe,English,10,8 to 9,Ehrharta longiflora,50 to 100,5/04/2022,14,
Campaspe,Campaspe,English,10,8 to 9,Bromus spp.,50 to 100,5/04/2022,14,
Campaspe,Campaspe,English,10,8 to 9,Hypochaeris radicata,5,5/04/2022,14,
Campaspe,Campaspe,English,10,8 to 9,Lolium spp.,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,10,10 to 11,Paspalum dilatatum,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,10,10 to 11,Bromus spp.,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,10,10 to 11,Ehrharta longiflora,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,10,10 to 11,Lolium spp.,10 to 50,5/04/2022,14,
Campaspe,Campaspe,English,10,12 to 13,Ehrharta longiflora,50 to 100,5/04/2022,14,
Campaspe,Campaspe,English,10,14 to 15,Ehrharta longiflora,10 to 50,5/04/2022,14,
